trial_number,value,state,best_iter,duration_minutes,auc,auc_std,gain,gain_std,logloss,logloss_std,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,1120908032.0,COMPLETE,,,0.9963007814205118,0.00043542649290767744,1120908032.0,2006860.375,0.04120025524307366,0.002347557450722821,886,0.06087499007849113,1656,0.9457252183217646,1.0,10000,50
1,1097563904.0,COMPLETE,,,0.9896670494172126,0.0014602407690627462,1097563904.0,4429194.5,0.3010891926388556,0.00044110874500956457,1115,0.005855966775502128,1933,0.5080058993654966,1.0,10000,50
2,1100156032.0,COMPLETE,,,0.9905585399528409,0.00164999658197326,1100156032.0,3484476.75,0.14113685880094864,0.0014248282901784383,245,0.00887492913423665,222,0.3882695936551456,1.0,10000,50
3,1041875968.0,COMPLETE,,,0.9628933636724131,0.003207670023964775,1041875968.0,7299590.5,0.3282327518357163,4.1605750872741594e-05,519,0.002161456568497592,1492,0.03284652185929517,1.0,10000,50
4,1115139968.0,COMPLETE,,,0.9942994263632219,0.0011156177018077152,1115139968.0,4161034.0,0.3250653920363109,9.916787458739526e-05,858,0.004137549396402493,679,0.6558445246041329,1.0,10000,50
5,1112128128.0,COMPLETE,,,0.9939327114235276,0.0009674118015491648,1112128128.0,3767979.0,0.2395640024251929,0.0008434476283403973,1370,0.001574340905611142,219,0.829188499163225,1.0,10000,50
6,1121691904.0,COMPLETE,,,0.9963202867914264,0.00045232487818049576,1121691904.0,2197445.75,0.04103503851319,0.0023632930929314505,1284,0.044987079408382466,1710,0.925691871754413,1.0,10000,50
7,1094195968.0,COMPLETE,,,0.9881157827666568,0.0017707053706991261,1094195968.0,3392127.5,0.16084596498664477,0.001450914190937488,863,0.007048073044730485,244,0.30609832964077427,1.0,10000,50
8,1110236032.0,COMPLETE,,,0.9926867753273745,0.0013069149098129415,1110236032.0,4083298.75,0.1602089685198372,0.001418112969310224,1223,0.008894246595296708,1467,0.678150768680835,1.0,10000,50
9,1121291904.0,COMPLETE,,,0.9961846475489748,0.0005174411391116874,1121291904.0,1939457.25,0.04215027436703315,0.002284322242809251,1361,0.03415431074901954,1621,0.5817892959018113,1.0,10000,50
10,1096231936.0,COMPLETE,,,0.9887140161893733,0.0013859066628822835,1096231936.0,3664858.0,0.3148467841763233,0.0001930831542203259,191,0.003874866982355658,1487,0.369618318706784,1.0,10000,50
11,1119596032.0,COMPLETE,,,0.9958144918940229,0.000621320542840151,1119596032.0,2835749.75,0.048285533443799704,0.002320852363935136,633,0.005072658818920716,1185,0.8471845645487078,1.0,10000,50
12,1104908032.0,COMPLETE,,,0.9917251538581207,0.0015800066189181746,1104908032.0,4852287.0,0.24661786448885276,0.0008720476953835482,1047,0.011450405091925867,908,0.5704086350023042,1.0,10000,50
13,1091996032.0,COMPLETE,,,0.9859436102534408,0.0020109713847842802,1091996032.0,5194446.5,0.29161134707404734,0.00033694310218750436,476,0.012168045398587438,918,0.2383079073876513,1.0,10000,50
14,1118460032.0,COMPLETE,,,0.9956687316906233,0.0006882748221500192,1118259968.0,2527042.5,0.04375980442105225,0.0027957075782671552,413,0.09284678188897832,81,0.6160189072946111,1.0,10000,50
15,1120663936.0,COMPLETE,,,0.9958728746014656,0.0005889063631280982,1120663936.0,2710299.75,0.04340979939117588,0.0022215932078101285,1267,0.05668884788790636,1677,0.15119430892941155,1.0,10000,50
16,1120996096.0,COMPLETE,,,0.9963632068632753,0.0004391213874161727,1120996096.0,1699377.625,0.040584786958945754,0.002312255452491325,1422,0.01996418594477135,450,0.9683347473144122,1.0,10000,50
17,1106476032.0,COMPLETE,,,0.9905249194313814,0.0010319046425349343,1106476032.0,3948546.0,0.32439704940442815,8.409404622469585e-05,438,0.0021764202901442637,1097,0.5089692350623766,1.0,10000,50
18,1115760000.0,COMPLETE,,,0.9933535689602658,0.0009879681558038042,1115760000.0,1705054.125,0.3094273072754353,0.0002718919255367884,1067,0.026826416487430532,761,0.710312346729779,1.0,10000,50
19,1077951872.0,COMPLETE,,,0.9726833383657307,0.0027519934024719138,1077951872.0,5704338.0,0.3212738133881366,0.00012147767643559286,513,0.001031976803323926,28,0.09269054764055623,1.0,10000,50
20,1121656064.0,COMPLETE,,,0.9963345794740887,0.00046023429137990427,1121623936.0,2058320.875,0.041050379818927736,0.0023288449962611357,1415,0.029806184796063687,1922,0.7852953761004017,1.0,10000,50
21,1121515904.0,COMPLETE,,,0.9962860769061337,0.0004846879862506027,1121515904.0,2420972.0,0.041437197174263904,0.00241742806633549,1472,0.03150383521752588,1990,0.8032536207031954,1.0,10000,50
22,1122000000.0,COMPLETE,,,0.9963106384389698,0.0004972352223142908,1122000000.0,2128166.0,0.04130615093321053,0.0024423093107172086,1500,0.042386532984722794,1939,0.7849982231667044,1.0,10000,50
23,1121411968.0,COMPLETE,,,0.996309006998547,0.00045509413468683234,1121411968.0,1844454.5,0.040887972785036655,0.0023301483893865813,1236,0.05209566045175997,1842,0.7518800423617006,1.0,10000,50
24,1120988032.0,COMPLETE,,,0.9962756604608367,0.0004651953171379082,1120988032.0,3029034.25,0.04124096340327613,0.0023083248760970955,1486,0.01969714397375359,1309,0.9021837600723361,1.0,10000,50
25,1121900160.0,COMPLETE,,,0.9962627690905002,0.00046381893243721485,1121900160.0,1875331.125,0.04133653519074164,0.002355314890846043,1287,0.09754133039256772,1787,0.886763759949407,1.0,10000,50
26,1121148032.0,COMPLETE,,,0.9962555010801066,0.0004777778704069888,1120716032.0,1920157.875,0.04121943689921971,0.002455354851357964,975,0.09350753096679268,1786,0.9851075045131347,1.0,10000,50
27,1121520000.0,COMPLETE,,,0.9963148102024647,0.00045542668500593656,1121520000.0,2023808.625,0.04098158785916998,0.0024223566077754264,1295,0.04393410234840987,1758,0.887794523427804,1.0,10000,50
28,1120328064.0,COMPLETE,,,0.9962591415973348,0.00042880546064096394,1119916032.0,1729458.875,0.041293144034284045,0.002224067942720129,1154,0.06943195830347727,1337,0.8956196226483927,1.0,10000,50
29,1120508160.0,COMPLETE,,,0.9962077421035657,0.000474514044422392,1120508160.0,1650822.5,0.0418344007325527,0.00242772114445741,766,0.01612551805963345,1605,0.9507533652656902,1.0,10000,50
